iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  50  8.081287e+01    2.99e-04    1.56e+01   1.55e+00   4.48e-01  1.83e+06        1    4.42e-03    2.34e-01
  51  8.081257e+01    3.00e-04    1.56e+01   1.55e+00   4.47e-01  1.83e+06        1    4.97e-03    2.39e-01
  52  8.081227e+01    3.01e-04    1.57e+01   1.55e+00   4.47e-01  1.83e+06        1    4.05e-03    2.43e-01
  53  8.081197e+01    3.02e-04    1.58e+01   1.55e+00   4.47e-01  1.82e+06        1    7.87e-03    2.51e-01
  54  8.081167e+01    3.03e-04    1.59e+01   1.55e+00   4.46e-01  1.82e+06        1    4.61e-03    2.56e-01
  55  8.081136e+01    3.04e-04    1.60e+01   1.55e+00   4.46e-01  1.82e+06        1    5.79e-03    2.62e-01
  56  8.081106e+01    3.05e-04    1.60e+01   1.55e+00   4.46e-01  1.82e+06        1    5.60e-03    2.67e-01
  57  8.081075e+01    3.05e-04    1.61e+01   1.55e+00   4.46e-01  1.81e+06        1    6.43e-03    2.74e-01
  58  8.081045e+01    3.06e-04    1.62e+01   1.55e+00   4.45e-01  1.81e+06        1    4.24e-03    2.78e-01
  59  8.081014e+01    3.07e-04    1.63e+01   1.55e+00   4.45e-01  1.81e+06        1    4.62e-03    2.83e-01
  60  8.080983e+01    3.08e-04    1.64e+01   1.55e+00   4.45e-01  1.81e+06        1    5.75e-03    2.89e-01
  61  8.080952e+01    3.09e-04    1.64e+01   1.55e+00   4.45e-01  1.80e+06        1    5.10e-03    2.94e-01
  62  8.080921e+01    3.10e-04    1.65e+01   1.55e+00   4.45e-01  1.80e+06        1    4.19e-03    2.98e-01
  63  8.080890e+01    3.11e-04    1.66e+01   1.55e+00   4.44e-01  1.80e+06        1    7.21e-03    3.06e-01
  64  8.080859e+01    3.12e-04    1.67e+01   1.54e+00   4.44e-01  1.80e+06        1    3.81e-03    3.10e-01
  65  8.080828e+01    3.13e-04    1.68e+01   1.54e+00   4.44e-01  1.80e+06        1    3.53e-03    3.13e-01
  66  8.080797e+01    3.13e-04    1.68e+01   1.54e+00   4.44e-01  1.79e+06        1    3.81e-03    3.17e-01
  67  8.080765e+01    3.14e-04    1.69e+01   1.54e+00   4.44e-01  1.79e+06        1    4.26e-03    3.21e-01
  68  8.080734e+01    3.15e-04    1.70e+01   1.54e+00   4.44e-01  1.79e+06        1    3.61e-03    3.25e-01
  69  8.080702e+01    3.16e-04    1.71e+01   1.54e+00   4.44e-01  1.78e+06        1    3.59e-03    3.29e-01
  70  8.080670e+01    3.17e-04    1.72e+01   1.54e+00   4.43e-01  1.78e+06        1    4.02e-03    3.33e-01
  71  8.080639e+01    3.18e-04    1.72e+01   1.54e+00   4.43e-01  1.78e+06        1    4.56e-03    3.38e-01
  72  8.080607e+01    3.19e-04    1.73e+01   1.54e+00   4.43e-01  1.78e+06        1    3.63e-03    3.41e-01
  73  8.080575e+01    3.19e-04    1.74e+01   1.54e+00   4.43e-01  1.77e+06        1    3.71e-03    3.45e-01
  74  8.080543e+01    3.20e-04    1.75e+01   1.54e+00   4.43e-01  1.77e+06        1    3.64e-03    3.49e-01
  75  8.080511e+01    3.21e-04    1.76e+01   1.54e+00   4.43e-01  1.77e+06        1    4.43e-03    3.53e-01
  76  8.080478e+01    3.22e-04    1.77e+01   1.54e+00   4.43e-01  1.77e+06        1    3.68e-03    3.57e-01
  77  8.080446e+01    3.23e-04    1.77e+01   1.54e+00   4.43e-01  1.76e+06        1    3.60e-03    3.61e-01
  78  8.080414e+01    3.24e-04    1.78e+01   1.54e+00   4.43e-01  1.76e+06        1    3.73e-03    3.65e-01
  79  8.080381e+01    3.25e-04    1.79e+01   1.54e+00   4.43e-01  1.76e+06        1    4.88e-03    3.70e-01
  80  8.080349e+01    3.25e-04    1.80e+01   1.54e+00   4.43e-01  1.76e+06        1    3.64e-03    3.73e-01
  81  8.080316e+01    3.26e-04    1.81e+01   1.54e+00   4.43e-01  1.75e+06        1    3.74e-03    3.77e-01
  82  8.080283e+01    3.27e-04    1.81e+01   1.54e+00   4.42e-01  1.75e+06        1    3.65e-03    3.81e-01
  83  8.080251e+01    3.28e-04    1.82e+01   1.54e+00   4.42e-01  1.75e+06        1    4.37e-03    3.85e-01
  84  8.080218e+01    3.29e-04    1.83e+01   1.54e+00   4.42e-01  1.75e+06        1    3.85e-03    3.89e-01
  85  8.080185e+01    3.30e-04    1.84e+01   1.54e+00   4.42e-01  1.74e+06        1    4.45e-03    3.94e-01
  86  8.080152e+01    3.31e-04    1.85e+01   1.54e+00   4.42e-01  1.74e+06        1    3.61e-03    3.97e-01
  87  8.080118e+01    3.31e-04    1.86e+01   1.53e+00   4.42e-01  1.74e+06        1    4.78e-03    4.02e-01
  88  8.080085e+01    3.32e-04    1.86e+01   1.53e+00   4.42e-01  1.73e+06        1    3.74e-03    4.06e-01
